=== REPORTE DE SIMULACION TFG ===
Identificador;17_04_20_06
Turnos Totales Simulados;1999


=== CAPA 1: MACRO-ESTADOS ===
Version;Macro_Estado;Turnos_Absolutos;Porcentaje
V1_Completa;OCIO;591;26.62%
V1_Completa;TAREAS_DOMESTICAS;541;24.37%
V1_Completa;OBLIGACIONES;418;18.83%
V1_Completa;ALIMENTACION;347;15.63%
V1_Completa;DESCANSO;323;14.55%
V2_Pura;TAREAS_DOMESTICAS;361;30.41%
V2_Pura;OCIO;323;27.21%
V2_Pura;OBLIGACIONES;226;19.04%
V2_Pura;ALIMENTACION;206;17.35%
V2_Pura;DESCANSO;71;5.98%


=== CAPA 2: MICRO-ACCIONES ===
Version;Macro_Estado;Micro_Accion;Turnos_Absolutos;Porcentaje_Relativo
V1_Completa;DESCANSO;sueno_profundo;280;86.69%
V1_Completa;DESCANSO;desplazamiento_urbano;32;9.91%
V1_Completa;DESCANSO;descanso_diurno;11;3.41%
V1_Completa;TAREAS_DOMESTICAS;mantenimiento_del_hogar;281;51.94%
V1_Completa;TAREAS_DOMESTICAS;desplazamiento_urbano;180;33.27%
V1_Completa;TAREAS_DOMESTICAS;conversacion_con_convivientes;48;8.87%
V1_Completa;TAREAS_DOMESTICAS;ver_rrss;32;5.91%
V1_Completa;OCIO;desplazamiento_urbano;268;45.35%
V1_Completa;OCIO;ocio_hosteleria;111;18.78%
V1_Completa;OCIO;conversacion_social;63;10.66%
V1_Completa;OCIO;ver_rrss;32;5.41%
V1_Completa;OCIO;actividad_fisica;26;4.4%
V1_Completa;OCIO;consumo_audiovisual;26;4.4%
V1_Completa;OCIO;paseo_recreativo;24;4.06%
V1_Completa;OCIO;actividad_cultural;21;3.55%
V1_Completa;OCIO;lectura;12;2.03%
V1_Completa;OCIO;ocio_digital_activo;8;1.35%
V1_Completa;ALIMENTACION;desplazamiento_urbano;141;40.63%
V1_Completa;ALIMENTACION;ingesta_en_hogar;75;21.61%
V1_Completa;ALIMENTACION;ingesta_en_restauracion;45;12.97%
V1_Completa;ALIMENTACION;ingesta_rrss;38;10.95%
V1_Completa;ALIMENTACION;ingesta_ligera;28;8.07%
V1_Completa;ALIMENTACION;interaccion_ingesta;20;5.76%
V1_Completa;OBLIGACIONES;desplazamiento_urbano;192;45.93%
V1_Completa;OBLIGACIONES;jornada_laboral;84;20.1%
V1_Completa;OBLIGACIONES;gestiones_personales;55;13.16%
V1_Completa;OBLIGACIONES;conversacion_con_companeros;36;8.61%
V1_Completa;OBLIGACIONES;revisar_rrss;36;8.61%
V1_Completa;OBLIGACIONES;jornada_academica;15;3.59%
V2_Pura;TAREAS_DOMESTICAS;mantenimiento_del_hogar;281;77.84%
V2_Pura;TAREAS_DOMESTICAS;conversacion_con_convivientes;48;13.3%
V2_Pura;TAREAS_DOMESTICAS;ver_rrss;32;8.86%
V2_Pura;OCIO;ocio_hosteleria;111;34.37%
V2_Pura;OCIO;conversacion_social;63;19.5%
V2_Pura;OCIO;ver_rrss;32;9.91%
V2_Pura;OCIO;actividad_fisica;26;8.05%
V2_Pura;OCIO;consumo_audiovisual;26;8.05%
V2_Pura;OCIO;paseo_recreativo;24;7.43%
V2_Pura;OCIO;actividad_cultural;21;6.5%
V2_Pura;OCIO;lectura;12;3.72%
V2_Pura;OCIO;ocio_digital_activo;8;2.48%
V2_Pura;ALIMENTACION;ingesta_en_hogar;75;36.41%
V2_Pura;ALIMENTACION;ingesta_en_restauracion;45;21.84%
V2_Pura;ALIMENTACION;ingesta_rrss;38;18.45%
V2_Pura;ALIMENTACION;ingesta_ligera;28;13.59%
V2_Pura;ALIMENTACION;interaccion_ingesta;20;9.71%
V2_Pura;DESCANSO;sueno_profundo;60;84.51%
V2_Pura;DESCANSO;descanso_diurno;11;15.49%
V2_Pura;OBLIGACIONES;jornada_laboral;84;37.17%
V2_Pura;OBLIGACIONES;gestiones_personales;55;24.34%
V2_Pura;OBLIGACIONES;conversacion_con_companeros;36;15.93%
V2_Pura;OBLIGACIONES;revisar_rrss;36;15.93%
V2_Pura;OBLIGACIONES;jornada_academica;15;6.64%


=== MOTOR ESPACIAL: LUGARES VISITADOS ===
Lugar;Visitas_Totales
Oficina_Centro;132
Cafeteria_Tranquila;70
Restaurante_Familiar;56
Bar_Manolo;51
Parque_Central;48
Plaza_Mayor;40
Discoteca_Sur;35
Universidad_Norte;28
Biblioteca_Municipal;28
Instituto_Sur;24
Centro_Jubilados;19
Polideportivo;16
Gimnasio_Centro;11
