follower,followed,active,created_at,source
joanne_gpd704_1760108845,5bc5a4_nksred_5bc5a4,True,2025-10-10 15:07:33+00:00,base_friendship
98cf18_fgsohn_98cf18,34e4b2_iyhten_34e4b2,True,2025-10-10 15:07:33+00:00,base_friendship
648733_tglary_648733,cesar_055c6d_614,True,2025-10-10 15:07:33+00:00,base_friendship
moniquez42_c861bf,eec539_hrdina_eec539,True,2025-10-10 15:07:33+00:00,base_friendship
moniquez42_c861bf,jeffrey_fzj341_1760108845,True,2025-10-10 15:07:33+00:00,base_friendship
moniquez42_c861bf,robert_vbt768_1760108846,True,2025-10-10 15:07:33+00:00,base_friendship
moniquez42_c861bf,isaiah_yqk510_1760108846,True,2025-10-10 15:07:33+00:00,base_friendship
moniquez42_c861bf,mar1265_vgk_ae767d,True,2025-10-10 15:07:33+00:00,base_friendship
moniquez42_c861bf,dale_47d501_621,True,2025-10-10 15:07:33+00:00,base_friendship
cha6466_ods_7450e0,kerin29_b0eb2b,True,2025-10-10 15:07:33+00:00,base_friendship
cha6466_ods_7450e0,frederick_ozk290_17601088,True,2025-10-10 15:07:33+00:00,base_friendship
cha6466_ods_7450e0,rob9894_bcm_27fa92,True,2025-10-10 15:07:33+00:00,base_friendship
cha6466_ods_7450e0,jar2210_imv_f9a8e1,True,2025-10-10 15:07:33+00:00,base_friendship
cha6466_ods_7450e0,ngm_bra_347_c70b28,True,2025-10-10 15:07:33+00:00,base_friendship
cha6466_ods_7450e0,rxf_len_231_abfa8c,True,2025-10-10 15:07:33+00:00,base_friendship
6e596b_rwaert_6e596b,9e8060_bvpory_9e8060,True,2025-10-10 15:07:33+00:00,base_friendship
leroy_dc56be_166,jam6452_kqe_a82551,True,2025-10-10 15:07:33+00:00,base_friendship
leroy_dc56be_166,roberto_47feeb_280,True,2025-10-10 15:07:33+00:00,base_friendship
leroy_dc56be_166,paul_cgx833_1760108846_c8,True,2025-10-10 15:07:33+00:00,base_friendship
leroy_dc56be_166,jodig29_10c2f0,True,2025-10-10 15:07:33+00:00,base_friendship
jessical65_c48122,90b322_tqxeph_90b322,True,2025-10-10 15:07:33+00:00,base_friendship
jessical65_c48122,rebecca_avy510_1760108846,True,2025-10-10 15:07:33+00:00,base_friendship
jessical65_c48122,russell_fcc93b_788,True,2025-10-10 15:07:33+00:00,base_friendship
jessical65_c48122,josephv88_7e9dd5,True,2025-10-10 15:07:33+00:00,base_friendship
jessical65_c48122,28e2c0_yjhsie_28e2c0,True,2025-10-10 15:07:33+00:00,base_friendship
jessical65_c48122,fmg_jes_869_5f5ba1,True,2025-10-10 15:07:33+00:00,base_friendship
90b322_tqxeph_90b322,rebecca_avy510_1760108846,True,2025-10-10 15:07:33+00:00,base_friendship
90b322_tqxeph_90b322,russell_fcc93b_788,True,2025-10-10 15:07:33+00:00,base_friendship
90b322_tqxeph_90b322,c141c1_obilip_c141c1,True,2025-10-10 15:07:33+00:00,base_friendship
90b322_tqxeph_90b322,jessical65_c48122,True,2025-10-10 15:07:33+00:00,base_friendship
90b322_tqxeph_90b322,guillermo_645029_832,True,2025-10-10 15:07:33+00:00,base_friendship
90b322_tqxeph_90b322,josephv88_7e9dd5,True,2025-10-10 15:07:33+00:00,base_friendship
william_fe3e1e_746,nina_trb541_1760108846_90,True,2025-10-10 15:07:33+00:00,base_friendship
william_fe3e1e_746,ab6b03_wbeory_ab6b03,True,2025-10-10 15:07:33+00:00,base_friendship
william_fe3e1e_746,karen_8288cd_683,True,2025-10-10 15:07:33+00:00,base_friendship
william_fe3e1e_746,fe30d1_keoisa_fe30d1,True,2025-10-10 15:07:33+00:00,base_friendship
william_fe3e1e_746,bruce_uef490_1760108846_3,True,2025-10-10 15:07:33+00:00,base_friendship
william_fe3e1e_746,courtney_cat527_176010884,True,2025-10-10 15:07:33+00:00,base_friendship
jeffrey_fzj341_1760108845,isaiah_yqk510_1760108846,True,2025-10-10 15:07:33+00:00,base_friendship
jeffrey_fzj341_1760108845,moniquez42_c861bf,True,2025-10-10 15:07:33+00:00,base_friendship
jeffrey_fzj341_1760108845,robert_vbt768_1760108846,True,2025-10-10 15:07:33+00:00,base_friendship
jeffrey_fzj341_1760108845,patrickQ32_4b2ce2,True,2025-10-10 15:07:33+00:00,base_friendship
jeffrey_fzj341_1760108845,mar1265_vgk_ae767d,True,2025-10-10 15:07:33+00:00,base_friendship
jeffrey_fzj341_1760108845,dale_47d501_621,True,2025-10-10 15:07:33+00:00,base_friendship
